"sampling_code","day","sample_replicate","test","log_conc","loc","hr_harvest_testing","date_of_harvest","days_since_last_irrigation"
"0922_B","H","2","APC",5.2557940579774,"CA",76.5,"2022-09-26",2
"0922_B","H","3","APC",4.88549874929278,"CA",76.5,"2022-09-26",2
"0922_B","H","1","GN",4.53749308414271,"CA",76.5,"2022-09-26",2
"0922_B","H","2","GN",4.5828374860063,"CA",76.5,"2022-09-26",2
"0922_B","H","3","GN",4.32714768585022,"CA",76.5,"2022-09-26",2
"0922_B","H","1","PC",4.73018360501785,"CA",76.5,"2022-09-26",2
"0922_B","H","2","PC",4.76228238706957,"CA",76.5,"2022-09-26",2
"0922_B","H","3","PC",4.36262000401244,"CA",76.5,"2022-09-26",2
"1022_A","H","1","APC",4.49789713736746,"CA",55.5,"2022-10-03",2
"1022_A","H","2","APC",4.54087622947126,"CA",55.5,"2022-10-03",2
"1022_A","H","3","APC",4.46831375656638,"CA",55.5,"2022-10-03",2
"1022_A","H","1","GN",3.90481844505879,"CA",55.5,"2022-10-03",2
"1022_A","H","2","GN",3.76043318230803,"CA",55.5,"2022-10-03",2
"1022_A","H","3","GN",3.71230525125999,"CA",55.5,"2022-10-03",2
"1022_A","H","1","PC",4.1631840285009,"CA",55.5,"2022-10-03",2
"1022_A","H","2","PC",3.8061906728687,"CA",55.5,"2022-10-03",2
"1022_A","H","3","PC",4.03921576590395,"CA",55.5,"2022-10-03",2
"1022_B","H","1","APC",5.16047135047661,"CA",55.25,"2022-10-17",2
"1022_B","H","2","APC",5.33792920440525,"CA",55.25,"2022-10-17",2
"1022_B","H","3","APC",5.13413357214816,"CA",55.25,"2022-10-17",2
"1022_B","H","1","GN",4.57031058244836,"CA",55.25,"2022-10-17",2
"1022_B","H","2","GN",5.00017640171652,"CA",55.25,"2022-10-17",2
"1022_B","H","3","GN",4.49967049438566,"CA",55.25,"2022-10-17",2
"1022_B","H","1","PC",4.94162811099998,"CA",55.25,"2022-10-17",2
"1022_B","H","2","PC",4.95681412369539,"CA",55.25,"2022-10-17",2
"1022_B","H","3","PC",4.94726522207629,"CA",55.25,"2022-10-17",2
"1222_A","H","1","PC",4.66492996347449,"AZ",30.0833333333333,"2022-12-02",10
"1222_A","H","2","PC",4.70787401663855,"AZ",30.0833333333333,"2022-12-02",10
"1222_A","H","3","PC",4.50029350054276,"AZ",30.0833333333333,"2022-12-02",10
"1222_B","H","1","APC",4.75416839185847,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","2","APC",4.89723009370812,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","3","APC",4.77191975041596,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","1","GN",4.44275636040077,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","2","GN",4.67202121528449,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","3","GN",4.33178206194946,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","1","PC",4.74727468391057,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","2","PC",4.6762173298781,"AZ",79.5833333333333,"2022-12-09",7
"1222_B","H","3","PC",4.76869078028576,"AZ",79.5833333333333,"2022-12-09",7
"1222_C","H","1","APC",3.93029564564974,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","2","APC",4.23823462045121,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","3","APC",3.98336264227162,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","1","GN",2.79559707175228,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","2","GN",3.21715959436756,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","3","GN",3.21381156364989,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","1","PC",3.57265023183687,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","2","PC",4.50970937255347,"AZ",32.1666666666667,"2022-12-19",2
"1222_C","H","3","PC",3.7996039422634,"AZ",32.1666666666667,"2022-12-19",2
