"qseqid","genus"
"s12-0930","Bacillus"
"s12-0931","Pseudomonas"
"s12-0932","Pseudomonas"
"s12-0933","Sphingobacterium"
"s12-0934","Pantoea"
"s12-0935","Pantoea"
"s12-0936","Pseudomonas"
"s12-0937","Pseudomonas"
"s12-0938","Pseudomonas"
"s12-0939","Enterococcus"
"s12-0940","Hafniaceae"
"s12-0941","Pseudomonas"
"s12-0942","Bacillus"
"s12-0943","Bacillus"
"s12-0944","Peribacillus"
"s12-0945","Pseudomonas"
"s12-0946","Pseudarthrobacter"
"s12-0947","Pseudomonas"
"s12-0948","Pseudomonas"
"s12-0949","Enterobacteriaceae"
"s12-0950","Pseudomonas"
"s12-0951","Pseudomonas"
"s12-0952","Pseudomonas"
"s12-0953","Pseudarthrobacter"
"s12-0954","Pseudarthrobacter"
"s12-0955","Pseudarthrobacter"
"s12-0956","Pseudarthrobacter"
"s12-0957","Bacillus"
"s12-0958","Caryophanaceae"
"s12-0960","Bacillus"
"s12-0961","Enterobacteriaceae"
"s12-0962","Pseudomonas"
"s12-0963","Pseudomonas"
"s12-0964","Enterobacter"
"s12-0965","Psychrobacter"
"s12-0966","Acinetobacter"
"s12-0967","Acinetobacter"
"s12-0968","Pseudomonas"
"s12-0969","Pseudomonas"
"s12-0970","Pseudomonas"
"s12-0971","Pseudomonas"
"s12-0972","Pseudomonas"
"s12-0973","Pseudomonas"
"s12-0974","Pseudomonas"
"s12-0975","Pseudomonas"
"s12-0976","Pseudomonas"
"s12-0977","Pseudomonas"
"s12-0979","Pseudomonas"
"s12-0980","Pseudomonas"
"s12-0981","Pseudomonas"
"s12-0982","Pseudomonas"
"s12-0983","Hafniaceae"
"s12-0984","Pseudomonas"
"s12-0985","Shewanella"
"s12-0986","Pseudomonas"
"s12-0987","Shewanella"
"s12-0988","Pseudomonas"
"s12-0989","Pantoea"
"s12-0990","Pantoea"
"s12-0991","Pseudomonas"
"s12-0992","Pseudomonas"
"s12-0993","Pseudomonas"
"s12-0994","Pseudomonas"
"s12-0995","Pseudomonas"
"s12-0996","Pseudomonas"
"s12-0997","Pseudomonas"
"s12-0998","Pseudomonas"
"s12-0999","Pseudomonas"
"s12-1000","Pseudomonas"
"s12-1001","Pseudomonas"
"s12-1002","Pseudomonas"
"s12-1003","Pantoea"
"s12-1004","Pseudomonas"
"s12-1005","Pseudomonas"
"s12-1006","Pseudomonas"
"s12-1007","Pseudomonas"
"s12-1008","Pseudomonas"
"s12-1009","Pseudomonas"
"s12-1010","Pseudomonas"
"s12-1011","Pseudomonas"
"s12-1012","Sphingobacterium"
"s12-1013","Pseudomonas"
"s12-1014","Pantoea"
"s12-1015","Pseudomonas"
"s12-1016","Pseudomonas"
"s12-1017","Pseudomonas"
"s12-1018","Pseudomonas"
"s12-1019","Pseudarthrobacter"
"s12-1020","Erwinia"
"s12-1021","Pantoea"
"s12-1022","Pseudomonas"
"s12-1023","Pseudomonas"
"s12-1024","Pseudomonas"
"s12-1025","Pantoea"
"s12-1026","Bacillus"
"s12-1027","Bacillus"
"s12-1028","Bacillus"
"s12-1030","Pantoea"
"s12-1031","Pseudomonas"
"s12-1033","Pantoea"
"s12-1034","Pseudomonas"
"s12-1035","Pantoea"
"s12-1036","Glutamicibacter"
"s12-1037","Pseudomonas"
"s12-1038","Pseudomonas"
"s12-1039","Bacillus"
"s12-1041","Bacillus"
"s12-1042","Pseudomonas"
"s12-1043","Pseudomonas"
"s12-1044","Pseudomonas"
"s12-1046","Pseudomonas"
"s12-1047","Pseudomonas"
"s12-1048","Pseudomonas"
"s12-1049","Pseudomonas"
"s12-1050","Bacillus"
"s12-1051","Acinetobacter"
"s12-1052","Streptomyces"
"s12-1053","Bacillus"
"s12-1054","Pantoea"
"s12-1056","Pantoea"
"s12-1057","Pseudomonas"
"s12-1058","Pantoea"
"s12-1059","Pantoea"
"s12-1060","Pantoea"
"s12-1062","Pseudomonas"
"s12-1063","Pseudomonas"
"s12-1064","Pseudomonas"
"s12-1065","Pseudomonas"
"s12-1066","Shewanella"
"s12-1067","Shewanella"
"s12-1068","Pseudomonas"
"s12-1069","Shewanella"
"s12-1070","Marinilactibacillus"
"s12-1071","Pseudomonas"
"s12-1072","Pseudomonas"
"s12-1073","Pseudomonas"
"s12-1074","Pseudomonas"
"s12-1075","Pseudomonas"
"s12-1076","Pseudomonas"
"s12-1077","Pseudomonas"
"s12-1078","Pseudomonas"
"s12-1079","Pseudomonas"
"s12-1080","Pseudomonas"
"s12-1081","Pseudomonas"
"s12-1082","Pseudomonas"
"s12-1083","Pseudomonas"
"s12-1085","Pseudomonas"
"s12-1086","Bacillus"
"s12-1088","Pantoea"
"s12-1089","Pseudomonas"
"s12-1090","Erwinia"
"s12-1091","Pantoea"
"s12-1092","Erwinia"
"s12-1093","Pseudomonas"
"s12-1094","Erwinia"
"s12-1095","Exiguobacterium"
"s12-1096","Pantoea"
"s12-1097","Pantoea"
"s12-1099","Pantoea"
"s12-1100","Pantoea"
"s12-1101","Pseudomonas"
"s12-1102","Pseudomonas"
"s12-1103","Hafniaceae"
"s12-1104","Pseudomonas"
"s12-1105","Pseudomonas"
"s12-1106","Pseudomonas"
"s12-1107","Pseudomonas"
"s12-1108","Pseudomonas"
"s12-1109","Pantoea"
"s12-1110","Pseudomonas"
"s12-1111","Pantoea"
"s12-1112","Bacillus"
"s12-1113","Bacillus"
"s12-1114","Bacillus"
"s12-1115","Pantoea"
"s12-1116","Pseudomonas"
"s12-1117","Pantoea"
"s12-1118","Pantoea"
"s12-1119","Pseudomonas"
"s12-1121","Pantoea"
"s12-1122","Pseudomonas"
"s12-1123","Bacillus"
"s12-1124","Pantoea"
"s12-1126","Bacillus"
"s12-1127","Pantoea"
"s12-1128","Pantoea"
"s12-1129","Erwiniaceae"
"s12-1130","Pantoea"
"s12-1131","Pantoea"
"s12-1132","Pantoea"
"s12-1133","Pantoea"
"s12-1134","Pantoea"
"s12-1135","Bacillus"
"s12-1136","Bacillus"
"s12-1137","Bacillus"
"s12-1138","Bacillus"
"s12-1139","Pseudomonas"
"s12-1140","Pseudomonas"
"s12-1141","Pantoea"
"s12-1142","Pseudomonas"
"s12-1143","Pantoea"
"s12-1144","Pseudomonas"
"s12-1145","Pseudomonas"
"s12-1146","Pantoea"
"s12-1147","Pantoea"
"s12-1148","Bacillus"
"s12-1149","Bacillus"
"s12-1150","Bacillus"
"s12-1151","Bacillus"
"s12-1152","Pantoea"
"s12-1153","Pseudomonas"
"s12-1154","Pantoea"
"s12-1155","Pseudomonas"
"s12-1156","Bacillus"
"s12-1157","Peribacillus"
"s12-1158","Bacillus"
"s12-1159","Bacillus"
"s12-1160","Pantoea"
"s12-1161","Pseudomonas"
"s12-1162","Pseudomonas"
"s12-1163","Pantoea"
"s12-1164","Bacillus"
"s12-1166","Bacillus"
"s12-1167","Bacillus"
"s12-1168","Pantoea"
"s12-1169","Pantoea"
"s12-1170","Pantoea"
"s12-1171","Pantoea"
"s12-1173","Enterobacterales"
"s12-1174","Pseudomonas"
"s12-1175","Carnobacterium"
"s12-1176","Carnobacterium"
"s12-1177","Enterobacterales"
"s12-1178","Enterobacterales"
"s12-1179","Erwinia"
"s12-1180","Erwinia"
"s12-1181","Exiguobacterium"
"s12-1182","Pseudomonas"
"s12-1183","Sphingobacterium"
"s12-1184","Ewingella"
"s12-1185","Pantoea"
"s12-1186","Enterobacterales"
"s12-1187","Ewingella"
"s12-1188","Pseudomonas"
"s12-1189","Enterobacterales"
"s12-1190","Pseudomonas"
"s12-1192","Pseudomonas"
"s12-1193","Carnobacterium"
"s12-1194","Enterobacterales"
"s12-1195","Enterobacterales"
"s12-1196","Enterobacterales"
"s12-1197","Enterobacterales"
"s12-1198","Enterobacterales"
"s12-1199","Pseudomonas"
"s12-1200","Pseudomonas"
"s12-1201","Pseudomonas"
"s12-1202","Pseudomonas"
"s12-1203","Pseudomonas"
