Sampling_code,Date_Time_of_arrival,Date_Time_of_testing,Date_Time_of_incubation,Sample_Name,Sample_Mass_g,Buffer_Volume_mL,Total_Bag_Mass,Bag_Mass,Notes
0322_A,NA,"2022_03_28, 12:30PM","2022_03_28, 2:30PM",D12_NC,0,204.67,,,
0322_A,"2022_03_18, 10:30AM","2022_04_02, 12:30PM","2022_04_02, 2:50PM",D17_1,25.05,203.08,37.07,12.02,
0322_A,"2022_03_18, 10:30AM","2022_04_02, 12:30PM","2022_04_02, 2:50PM",D17_2,25.65,200.12,37.75,12.1,
0322_A,"2022_03_18, 10:30AM","2022_04_02, 12:30PM","2022_04_02, 2:50PM",D17_3,25.88,203.18,38,12.12,
0322_A,NA,"2022_04_02, 12:30PM","2022_04_02, 2:50PM",D17_NC,0,203.77,,,
0322_A,"2022_03_18, 10:30AM","2022_04_07, 12:30PM","2022_04_07, 1:50PM",D22_1,24.93,205.37,37.01,12.08,
0322_A,"2022_03_18, 10:30AM","2022_04_07, 12:30PM","2022_04_07, 1:50PM",D22_2,24.92,203.97,37.01,12.09,
0322_A,"2022_03_18, 10:30AM","2022_04_07, 12:30PM","2022_04_07, 1:50PM",D22_3,25.93,202.45,37.98,12.05,
0322_A,NA,"2022_04_07, 12:30PM",NA,D22_NC,,199.28,,,
0322_B,"2022_03_15, 10:30AM","2022_03_15, 11:00AM","2022_03_15, ~12:30PM",H_1,26.04,200.13,,,
0322_B,"2022_03_15, 10:30AM","2022_03_15, 11:00AM","2022_03_15, ~12:30PM",H_2,25.57,209.37,,,
0322_B,"2022_03_15, 10:30AM","2022_03_15, 11:00AM","2022_03_15, ~12:30PM",H_3,25.08,202.04,,,
0322_B,"2022_03_24, 10:40AM","2022_03_24, 12:00PM","2022_03_24, 2:30PM",DI_1,25.4,200.43,37.46,12.06,
0322_B,"2022_03_24, 10:40AM","2022_03_24, 12:00PM","2022_03_24, 2:30PM",DI_2,26.47,199.37,38.68,12.21,
0322_B,"2022_03_24, 10:40AM","2022_03_24, 12:00PM","2022_03_24, 2:30PM",DI_3,26.035,201.5,38.17,12.135,Forgot to take down empty bag mass. Approximated to be average of the other two bags tested: (12.06 + 12.21)/2
0322_B,NA,"2022_03_24, 12:00PM",NA,DI_NC,,202.94,,,
0322_B,"2022_03_24, 10:40AM","2022_03_29, 12:10PM","2022_03_29, ~1:45PM",D7_1,,200.6,,12.16,Total bag mass not recorded
0322_B,"2022_03_24, 10:40AM","2022_03_29, 12:10PM","2022_03_29, ~1:45PM",D7_2,,200.24,,12.07,Total bag mass not recorded
0322_B,"2022_03_24, 10:40AM","2022_03_29, 12:10PM","2022_03_29, ~1:45PM",D7_3,,200.74,,12.115,Total bag mass not recorded; The empty bag mass was not recorded on the bag. The empty bag mass was approximated by averaging the bag mass of the other two bags tested on this day 
0322_B,NA,"2022_03_29, 12:10PM",NA,D7_NC,,202.38,,12.01,
0322_B,"2022_03_24, 10:40AM","2022_04_03, 12:15PM","2022_04_03, 2:30PM",D12_1,25.13,202.69,37.22,12.09,
0322_B,"2022_03_24, 10:40AM","2022_04_03, 12:15PM","2022_04_03, 2:30PM",D12_2,25.26,205.04,37.29,12.03,
0322_B,"2022_03_24, 10:40AM","2022_04_03, 12:15PM","2022_04_03, 2:30PM",D12_3,25.32,201.61,37.37,12.05,
0322_B,NA,"2022_04_03, 12:15PM",NA,D12_NC,0,204.85,,,
0322_B,"2022_03_24, 10:40AM","2022_04_08, 11:30AM","2022_04_08, 12:45PM",D17_1,25.94,204.17,38.06,12.12,
0322_B,"2022_03_24, 10:40AM","2022_04_08, 11:30AM","2022_04_08, 12:45PM",D17_2,26.07,211.93,38.18,12.11,
0322_B,"2022_03_24, 10:40AM","2022_04_08, 11:30AM","2022_04_08, 12:45PM",D17_3,25.68,198.9,37.7,12.02,
0322_B,NA,"2022_04_08, 11:30AM",NA,D17_NC,0,199.43,,,
0322_B,"2022_03_24, 10:40AM","2022_04_13, 12:30PM","2022_04_13, 2:15PM",D22_1,25.3,205.68,37.41,12.11,
0322_B,"2022_03_24, 10:40AM","2022_04_13, 12:30PM","2022_04_13, 2:15PM",D22_2,25.12,200.18,37.11,11.99,
0322_B,"2022_03_24, 10:40AM","2022_04_13, 12:30PM","2022_04_13, 2:15PM",D22_3,26.08,200.33,38.09,12.01,
0322_B,NA,"2022_04_13, 12:30PM",NA,D22_NC,0,205.08,,,
0422_A,"2022_04_06, 10:23AM","2022_04_06, 11:00AM","2022_04_06, 1:10PM",H_1,25.92,214.69,,,"~2.79 mL of buffer spilled from the bag during stomaching. This was calculated by assuming the bag weight was 12g. Adding the mass of the sample, bag and buffer (25.92 + 217.48 + 12) and substracting the new total mass of the sample, bag and buffer (252.61g) from this. The volume lost, 2.79mL, was subtracted from the initial buffer mass (217.48) to get the final buffer mass: 214.69"
0422_A,"2022_04_06, 10:23AM","2022_04_06, 11:00AM","2022_04_06, 1:10PM",H_2,25.58,201.65,,,
0422_A,"2022_04_06, 10:23AM","2022_04_06, 11:00AM","2022_04_06, 1:10PM",H_3,25.6,199.37,,,
0422_A,NA,"2022_04_06, 11:00AM",NA,H_NC,0,206.45,,,
0422_A,"2022_04_26, ~10:30AM","2022_04_26, 11:45 AM","2022_04_26, 1:10PM",DI_1,,202.01,37.99,12.07,
0422_A,"2022_04_26, ~10:30AM","2022_04_26, 11:45 AM","2022_04_26, 1:10PM",DI_2,,202.02,38.44,11.91,
0422_A,"2022_04_26, ~10:30AM","2022_04_26, 11:45 AM","2022_04_26, 1:10PM",DI_3,,201.35,37.96,11.81,
0422_A,"2022_04_26, ~10:30AM","2022_04_26, 11:45 AM","2022_04_26, 1:10PM",DI_NC,,202.65,,,
0422_A,"2022_04_26, ~10:30AM","2022_04_30, 12:10PM","2022_04_30, 2:35PM",D7_1,,204.24,37.59,12.08,
0422_A,"2022_04_26, ~10:30AM","2022_04_30, 12:10PM","2022_04_30, 2:35PM",D7_2,,199.21,37.64,11.84,
0422_A,"2022_04_26, ~10:30AM","2022_04_30, 12:10PM","2022_04_30, 2:35PM",D7_3,,203.94,37.27,12.08,
0422_A,"2022_04_26, ~10:30AM","2022_04_30, 12:10PM","2022_04_30, 2:35PM",D7_NC,0,207.04,,,
0422_A,"2022_04_26, ~10:30AM","2022_05_07, 11:15AM","2022_05_07, 2:00PM",D12_1,,203.4,37.62,12.07,
0422_A,"2022_04_26, ~10:30AM","2022_05_07, 11:15AM","2022_05_07, 2:00PM",D12_2,,202.74,37.2,11.95,
0422_A,"2022_04_26, ~10:30AM","2022_05_07, 11:15AM","2022_05_07, 2:00PM",D12_3,,201.28,37.35,11.88,
0422_A,"2022_04_26, ~10:30AM","2022_05_07, 11:15AM","2022_05_07, 2:00PM",D12_NC,0,213.66,,,
0422_A,"2022_04_26, ~10:30AM","2022_05_14, 11:05AM","2022_05_14, 1:30PM",D17_1,,207.66,37.93,12.27,
0422_A,"2022_04_26, ~10:30AM","2022_05_14, 11:05AM","2022_05_14, 1:30PM",D17_2,,199.95,37.64,12.01,
0422_A,"2022_04_26, ~10:30AM","2022_05_14, 11:05AM","2022_05_14, 1:30PM",D17_3,,202.6,37.93,11.99,
0422_A,"2022_04_26, ~10:30AM","2022_05_14, 11:05AM","2022_05_14, 1:30PM",D17_NC,0,201.77,,,
